,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
Feature 1,1.9,1.9,1.9,4.3,1.1,2.1,1.9,2.7,3.0
Feature 2,1.3,1.3,1.5,1.1,1.8,1.6,2.6,3.5,1.2
Feature 3,1.3,1.3,1.3,1.3,1.3,6.2,1.5,3.0,1.4
Feature 4,1.4,1.3,1.2,1.5,1.3,4.3,1.6,5.0,1.4
Feature 5,3.1,1.4,1.2,1.5,1.0,1.3,1.2,1.5,1.4
Feature 6,1.5,1.3,1.5,1.2,1.0,1.5,1.1,1.4,1.2
Feature 7,2.3,1.2,1.2,1.1,1.0,1.3,2.1,3.2,1.5
Feature 8,3.4,1.5,1.6,1.4,1.2,1.7,2.1,1.8,5.3
Feature 9,1.4,7.6,10.1,2.3,2.3,1.6,2.0,2.4,1.7
Feature 10,1.9,2.0,2.0,2.4,1.1,1.5,3.2,2.7,1.9
Feature 11,1.6,1.2,1.4,1.4,1.1,7.0,1.6,2.3,1.4
Feature 12,1.4,1.2,1.2,1.1,1.2,1.3,1.4,1.8,1.3
Feature 13,2.3,1.4,1.4,1.6,8.8,1.7,1.7,3.5,4.1
Feature 14,1.6,5.1,4.8,4.5,1.2,1.4,2.6,1.6,1.8
Feature 15,1.6,5.7,4.7,7.3,1.3,1.4,2.0,1.5,1.4
Feature 16,2.1,3.4,3.2,3.5,2.2,2.7,2.6,2.5,2.6
Feature 17,3.6,1.1,1.2,1.2,1.1,2.0,2.4,2.2,2.6
Feature 18,1.8,1.6,1.5,1.3,1.2,2.2,1.9,2.3,2.1
Feature 19,1.4,1.3,1.4,1.5,1.0,1.4,1.5,12.0,1.3
Feature 20,2.2,1.3,1.5,1.4,1.1,1.7,2.5,3.6,1.6
Feature 21,1.5,1.5,1.5,1.4,1.5,1.9,1.5,1.9,1.5
Feature 22,2.0,1.7,1.6,1.8,1.3,2.3,2.3,2.5,2.7
Feature 23,2.6,1.5,1.5,1.2,1.0,1.8,2.5,2.2,1.2
Feature 24,6.4,2.3,3.2,1.9,2.6,3.9,5.8,7.2,3.8
Feature 25,1.8,3.4,2.7,3.7,1.3,1.6,2.1,1.5,2.6
Feature 26,1.9,1.2,1.3,2.3,1.2,3.2,1.4,2.6,1.7
Feature 27,1.6,1.6,1.5,1.5,1.0,6.0,1.4,2.5,1.6
